,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_656009,76.0,36.1,2.89,N,15.0,29.7,445.5,31.0,5.2,13.0,92.0,,,0.0,21.42,9.13,17.57,5.73,2.14,54.67,1.6
PI_656057,82.0,62.45,8.05,Y,8.0,,,,3.7,16.0,131.0,,,4.0,30.42,10.8,16.2,8.02,2.09,43.5,2.25
PI_576347,58.0,48.0,,Y,,,,,,,,,,7.0,21.26,7.56,24.3,4.2,1.29,32.0,3.8
PI_533972,73.0,25.3,4.2,N,17.0,23.2,394.4,44.4,6.5,14.0,105.0,61.0,6.5,0.0,19.58,9.22,12.97,7.2,3.0,50.0,1.47
PI_595744,63.0,48.3,3.66,N,15.0,33.4,501.0,20.6,3.5,12.0,140.0,44.0,6.0,0.0,20.6,9.66,15.67,6.97,3.35,71.67,1.83
PI_534054,69.0,35.8,4.64,N,11.0,26.9,295.9,36.0,5.0,11.0,60.0,64.0,6.5,0.0,25.46,10.43,17.5,5.72,2.39,84.67,1.9
PI_659693,50.0,46.8,12.0,Y,6.0,,,20.0,4.2,10.0,58.0,41.0,4.5,0.33,21.22,10.5,16.07,7.58,3.03,51.0,3.0
PI_534021,73.0,23.6,6.56,N,11.0,19.4,213.39999999999998,41.1,5.1,13.0,78.0,61.5,6.5,0.33,19.75,9.21,18.07,5.59,2.11,73.67,1.13
PI_564163,64.0,38.3,4.95,N,15.0,35.0,525.0,53.2,4.9,12.0,100.0,52.0,5.0,0.0,20.1,9.47,26.3,6.18,2.68,58.0,1.9
PI_597950,56.0,58.7,7.76,N,16.0,11.3,180.8,21.0,3.9,11.0,166.0,39.5,5.5,0.0,12.6,8.02,11.63,5.83,3.04,74.33,1.63
PI_534139,59.0,80.0,8.62,N,26.0,15.4,400.4,51.0,4.1,8.0,150.0,76.0,4.5,2.33,17.44,6.05,23.9,3.78,1.91,46.0,3.47
PI_656096,60.0,54.5,6.48,N,16.0,15.8,252.8,38.2,2.9,11.0,132.0,68.5,7.0,0.0,21.26,10.25,30.77,8.06,2.52,127.33,2.27
PI_576339,58.0,41.2,5.34,N,18.0,26.4,475.2,30.0,5.4,11.0,110.0,52.5,7.5,0.0,19.81,9.72,21.5,6.49,2.2800000000000002,54.33,1.07
PI_597973,69.0,44.6,6.67,N,14.0,1.1,15.400000000000002,43.0,4.4,14.0,108.0,69.5,5.8,0.0,24.47,9.49,20.77,4.88,1.4,72.0,1.6
PI_534133,69.0,30.8,2.1,N,17.0,10.0,170.0,35.6,3.6,13.0,73.0,74.0,7.5,0.0,25.49,10.04,14.6,6.63,3.25,89.33,1.43
PI_576345,73.0,46.4,8.85,N,15.0,36.5,547.5,24.2,4.4,15.0,139.0,37.0,6.2,0.0,20.94,8.75,15.33,5.54,3.24,50.33,1.67
PI_564163,63.0,40.5,1.29,N,15.0,27.4,411.0,34.2,5.4,12.0,109.0,71.5,7.0,0.0,23.49,10.87,25.1,7.27,2.32,60.67,1.77
PI_533869,65.0,44.1,11.75,N,27.0,21.7,585.9,30.5,5.1,12.0,98.0,61.5,6.5,1.33,21.42,8.21,18.23,5.42,2.96,36.0,1.9300000000000002
PI_576332,69.0,37.0,8.78,N,4.0,,,31.3,3.7,15.0,98.0,63.5,5.8,1.5,26.03,7.96,24.97,5.19,1.65,73.0,2.03
