,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_656081,60.0,43.8,,Y,21.0,,,52.5,4.6,7.0,170.0,60.5,6.2,6.0,14.4,7.21,30.5,4.96,1.75,37.0,3.5
PI_564163,62.0,34.6,7.84,N,12.0,69.2,830.4000000000001,32.7,5.0,10.0,98.0,69.5,7.1,0.0,21.67,10.94,25.23,7.39,2.92,53.67,2.07
PI_656118,,38.7,8.28,N,17.0,32.9,559.3,,,,,61.5,6.3,0.0,26.79,6.42,13.47,5.37,3.15,52.67,3.8
PI_533972,68.0,38.9,3.62,N,16.0,45.1,721.6,33.7,6.1,13.0,108.0,66.9,6.1,0.67,22.04,9.82,14.03,8.26,2.66,51.67,2.23
PI_564163,56.0,40.3,7.86,N,17.0,32.1,545.7,38.3,4.0,10.0,95.0,77.2,7.8,0.33,22.49,11.49,28.53,7.85,1.84,60.33,1.9
PI_533979,56.0,47.9,6.64,N,20.0,40.0,800.0,34.6,4.1,12.0,75.0,62.5,5.8,0.33,19.22,9.85,17.03,6.05,3.04,51.0,2.03
PI_561472,71.0,44.0,3.63,N,19.0,52.8,1003.2,43.5,6.3,14.0,158.0,70.6,8.0,0.0,22.63,12.04,19.6,7.63,2.27,62.0,1.9300000000000002
PI_564163,59.0,43.1,7.1,N,13.0,52.8,686.4,40.0,4.8,12.0,103.0,78.8,7.5,0.67,20.64,9.65,26.23,6.22,2.47,53.33,2.27
PI_534070,56.0,59.1,8.22,N,18.0,23.0,414.0,39.5,3.4,7.0,78.0,58.2,5.1,1.67,22.44,10.44,35.8,6.27,1.8,44.33,4.57
PI_656078,59.0,41.7,7.46,Y,13.0,,,32.0,3.5,9.0,98.0,52.3,6.4,1.33,24.65,11.89,24.3,9.44,3.76,78.33,1.1
PI_656021,62.0,40.9,3.19,N,19.0,33.5,636.5,42.0,6.8,12.0,83.0,73.6,10.3,1.67,24.86,13.4,24.23,8.4,3.32,71.0,1.9300000000000002
PI_656046,63.0,54.0,3.04,Y,8.0,43.5,348.0,48.5,5.4,8.0,103.0,65.1,8.0,0.0,24.82,15.08,15.43,9.77,3.66,123.67,2.33
PI_576390,55.0,50.0,8.49,N,22.0,32.0,704.0,40.0,5.3,6.0,119.0,45.0,4.9,1.67,16.44,7.23,15.8,6.43,2.29,68.33,1.43
PI_597973,63.0,56.5,6.97,N,13.0,26.2,340.6,49.0,4.6,12.0,106.0,,,0.33,25.22,11.62,23.6,7.2,2.07,88.67,2.8
PI_533991,63.0,57.9,10.25,N,19.0,50.9,967.1,39.3,5.8,12.0,112.0,77.9,7.0,0.33,19.24,10.22,20.37,7.55,1.39,72.33,2.2
PI_656059,64.0,49.6,4.89,N,15.0,51.9,778.5,45.7,4.8,12.0,110.0,71.7,8.1,0.33,20.93,10.78,24.93,8.07,2.8,69.33,2.67
PI_576399,62.0,55.1,12.36,N,20.0,29.4,588.0,23.9,3.0,7.0,168.0,52.4,4.8,1.0,16.65,8.13,15.33,5.12,2.47,36.67,2.6
PI_656039,68.0,41.1,6.47,N,10.0,55.8,558.0,36.6,8.8,14.0,132.0,70.5,10.0,1.67,23.57,12.44,34.0,9.28,1.94,61.0,2.43
PI_656082,75.0,42.9,5.87,N,11.0,8.1,89.1,60.0,6.1,14.0,82.0,79.0,7.5,0.33,28.89,10.15,31.83,8.13,1.41,40.0,3.67
PI_533799,65.0,51.3,3.82,N,8.0,50.2,401.6,40.0,6.6,13.0,65.0,69.5,7.0,0.33,22.98,10.48,18.13,6.86,1.98,63.0,1.77
PI_564163,63.0,47.0,11.23,N,12.0,51.9,622.8,29.3,4.2,10.0,99.0,79.0,8.0,0.33,25.81,10.18,27.77,6.34,2.12,58.33,2.0
PI_564163,62.0,37.2,9.63,N,15.0,68.0,1020.0,33.0,5.0,11.0,113.0,69.0,6.5,0.0,22.05,10.41,28.33,7.21,2.77,59.33,1.9
PI_656105,61.0,38.9,7.85,N,20.0,38.0,760.0,51.5,7.0,10.0,58.0,60.0,7.5,0.33,25.05,10.87,15.97,7.18,3.85,58.67,1.33
PI_564163,62.0,47.7,7.44,N,11.0,38.3,421.29999999999995,42.7,5.4,10.0,79.0,61.0,6.4,0.0,23.15,10.98,27.8,7.56,2.35,56.0,1.77
PI_533915,62.0,59.6,5.24,N,32.0,22.6,723.2,27.5,6.5,9.0,124.0,40.0,8.6,2.67,22.05,10.78,23.13,7.21,2.19,38.33,2.13
PI_564163,60.0,24.8,2.72,N,14.0,64.8,907.2,39.5,5.1,10.0,93.0,79.0,7.8,1.0,21.96,11.08,28.33,7.16,2.54,60.67,2.9
PI_656012,73.0,34.7,3.19,N,26.0,58.0,1508.0,53.5,4.7,14.0,113.0,72.0,8.0,0.33,27.25,10.39,12.97,7.28,2.02,72.67,0.97
PI_564163,59.0,36.2,5.36,N,15.0,,,37.8,4.2,11.0,92.0,74.0,7.7,2.33,25.64,11.85,26.6,7.25,3.12,60.67,2.5300000000000002
PI_576347,53.0,46.849999999999994,2.95,Y,15.0,,,40.0,4.7,9.0,85.0,57.0,6.3,4.5,18.85,8.15,22.6,6.17,2.48,34.0,3.3
PI_656029,65.0,51.7,6.23,N,14.0,30.8,431.2,44.5,4.6,16.0,82.0,64.5,6.7,0.33,32.23,13.49,20.07,8.06,3.74,95.67,3.27
PI_656100,74.0,39.75,0.15,Y,6.0,,,57.5,7.4,11.0,60.0,76.0,8.0,2.0,34.53,15.0,21.5,10.14,2.54,100.5,0.75
PI_48770,66.0,45.9,5.19,N,14.0,,,45.0,5.3,12.0,98.0,68.0,6.1,1.0,29.76,13.77,31.17,8.41,2.52,77.67,2.07
PI_576352,67.0,53.849999999999994,16.75,Y,,,,,,,,75.0,7.0,0.67,22.86,8.19,21.93,6.82,1.33,39.33,3.43
PI_656050,60.0,62.4,5.17,N,26.0,37.4,972.4,30.5,5.1,12.0,255.0,,,0.67,15.78,9.95,26.2,7.36,1.83,73.0,2.4
PI_533824,66.0,44.3,4.51,N,21.0,30.2,634.1999999999999,36.0,5.0,9.0,63.0,56.9,7.5,0.0,23.55,10.29,17.6,6.76,2.08,65.0,2.9
PI_655994,60.0,42.1,3.43,N,22.0,26.9,591.8,29.0,4.6,11.0,245.0,,,0.33,18.22,9.77,18.37,6.79,2.25,47.33,2.8
PI_629059,66.0,55.3,6.63,N,12.0,19.3,231.60000000000002,42.0,4.2,12.0,83.0,88.8,8.6,0.67,22.67,9.81,24.0,6.12,2.07,58.33,1.33
PI_576396,62.0,60.7,4.18,N,23.0,29.5,678.5,31.0,5.0,10.0,100.0,56.0,4.6,0.67,19.45,8.85,7.37,6.57,4.59,21.33,2.3
PI_576418,66.0,35.3,5.3,N,23.0,32.0,736.0,49.5,5.5,10.0,120.0,75.3,8.0,0.67,23.33,10.45,31.9,7.18,2.18,70.67,1.9
PI_597972,59.0,51.8,8.74,N,13.0,74.5,968.5,55.0,5.7,12.0,82.0,77.2,8.1,1.0,30.3,14.75,22.33,6.45,2.74,91.67,2.77
PI_576339,58.0,45.5,7.07,N,15.0,31.9,478.5,25.5,3.7,11.0,110.0,54.6,7.9,0.0,21.23,10.09,18.03,5.35,2.42,55.67,1.0
PI_564163,59.0,39.8,2.17,N,19.0,24.0,456.0,33.0,3.9,11.0,113.0,73.2,6.8,0.33,19.27,10.33,28.23,5.93,2.24,55.33,2.77
PI_564163,60.0,29.5,5.38,N,19.0,54.7,1039.3,29.0,4.0,10.0,112.0,68.5,6.2,0.0,16.95,7.9,26.57,6.12,2.05,57.0,1.63
PI_656109,53.0,60.1,4.82,N,23.0,24.3,558.9,30.5,4.8,7.0,65.0,,,2.0,23.39,11.54,11.87,8.48,4.07,47.67,1.83
PI_656070,71.0,25.6,8.01,N,14.0,28.3,396.2,23.5,4.9,11.0,109.0,88.3,7.2,0.67,15.57,7.67,14.1,5.45,1.83,56.0,2.37
PI_656049,67.0,49.2,9.51,N,16.0,34.6,553.6,25.0,4.5,12.0,170.0,56.2,7.4,0.67,19.73,9.59,21.8,6.81,3.56,46.33,1.43
PI_597957,63.0,47.1,4.7,N,14.0,23.9,334.6,39.0,6.0,12.0,69.0,63.3,7.3,0.0,25.37,12.29,22.5,5.69,2.99,76.33,1.77
PI_152651,50.0,78.9,17.29,N,32.0,13.0,416.0,45.0,6.0,9.0,139.0,60.0,7.5,4.67,17.25,7.7,12.17,4.94,1.75,35.33,1.67
PI_548797,69.0,44.15,4.5600000000000005,N,7.0,0.8,5.6,40.0,5.0,12.0,106.0,70.0,6.0,0.67,32.12,13.43,26.87,10.92,2.94,57.0,1.27
PI_576428,69.0,50.6,5.59,N,5.0,34.6,173.0,43.0,8.5,12.0,90.0,61.0,10.5,0.0,33.4,14.3,9.2,8.83,4.85,51.33,1.8
PI_656035,68.0,47.6,2.97,N,17.0,46.0,782.0,41.0,5.0,13.0,270.0,56.0,6.5,0.67,18.25,9.21,22.07,7.28,1.79,62.0,1.47
PI_576426,73.0,34.0,6.26,N,7.0,54.2,379.4,45.2,5.0,15.0,99.0,57.5,5.5,0.0,25.77,10.16,21.43,7.02,2.61,59.0,2.07
PI_564163,65.0,37.9,4.4,N,12.0,81.9,982.8,34.2,5.7,9.0,93.0,62.0,7.0,0.33,23.52,9.71,24.93,6.79,2.88,58.67,1.7000000000000002
PI_534009,80.0,44.4,1.84,Y,15.0,13.5,202.5,,,15.0,82.0,40.0,4.0,0.0,25.38,8.81,23.67,7.35,1.63,107.33,1.97
PI_564163,65.0,41.7,5.35,N,8.0,59.9,479.2,41.0,5.4,10.0,97.0,75.5,7.8,0.33,22.31,10.21,24.0,6.3,3.1,59.0,1.77
PI_656000,59.0,28.8,5.02,N,16.0,33.7,539.2,28.4,3.6,10.0,88.0,71.0,6.8,0.0,21.08,8.41,28.73,6.14,3.0,73.67,1.9300000000000002
PI_533927,65.0,40.6,4.11,N,19.0,14.7,279.3,42.1,5.2,11.0,193.0,48.0,6.5,1.33,21.35,9.92,25.27,8.14,3.84,54.67,2.8
PI_656043,69.0,37.3,4.74,N,11.0,82.4,906.4000000000001,36.8,7.1,14.0,195.0,65.5,7.2,0.33,21.43,11.57,15.9,7.39,3.05,55.33,1.7000000000000002
PI_576422,64.0,48.1,7.75,N,13.0,62.1,807.3,48.6,5.0,12.0,83.0,71.0,6.5,0.67,28.33,12.3,23.73,8.55,3.41,56.0,3.73
PI_597980,58.0,45.5,2.81,N,28.0,39.6,1108.8,34.0,4.0,10.0,105.0,62.5,7.0,0.67,17.84,9.95,20.7,7.06,1.83,71.67,2.37
PI_533980,71.0,46.8,7.06,N,14.0,34.6,484.4,48.0,5.6,10.0,72.0,74.0,7.0,0.0,29.64,12.24,24.27,8.47,2.18,75.67,2.07
PI_533821,70.0,51.15,2.04,N,6.0,35.3,211.8,34.0,4.1,9.0,72.0,53.0,8.5,0.0,29.33,13.56,8.5,7.8,3.39,27.33,2.67
PI_534096,,,,Y,,,,,,,,60.0,6.5,1.0,28.55,13.22,24.55,10.5,3.88,50.0,1.8
PI_576387,62.0,36.9,5.97,N,18.0,59.5,1071.0,25.0,5.4,12.0,82.0,,,,,,,,,,
PI_533750,63.0,33.8,1.46,N,15.0,8.2,122.99999999999999,40.5,4.5,13.0,63.0,62.0,5.5,0.0,20.18,8.93,29.7,7.16,1.96,58.33,3.23
PI_534114,68.0,34.7,6.97,N,22.0,21.2,466.4,33.0,5.3,13.0,80.0,61.5,7.4,0.33,23.53,8.43,19.67,6.42,2.27,50.33,4.03
PI_534135,76.0,23.3,4.43,N,12.0,10.6,127.19999999999999,37.2,4.8,11.0,60.0,60.9,7.1,0.0,24.27,10.09,15.93,6.75,2.6,63.33,2.6
PI_534105,64.0,64.6,7.4,N,17.0,18.8,319.6,29.3,4.6,12.0,83.0,69.7,8.3,2.0,23.24,10.99,19.23,7.04,2.79,68.33,2.0
PI_656051,69.0,31.4,6.2,N,13.0,41.6,540.8000000000001,41.0,6.7,13.0,130.0,79.8,9.2,0.0,25.1,12.77,24.57,8.53,2.71,76.33,1.57
PI_655973,65.0,77.3,13.65,Y,11.0,,,41.0,6.5,15.0,190.0,49.3,8.0,1.5,25.17,12.41,13.37,9.43,3.47,40.67,1.2
PI_659753,75.0,35.1,7.57,N,10.0,23.3,233.0,56.2,5.1,16.0,177.0,73.0,8.6,0.33,26.69,11.63,15.87,7.58,2.34,87.33,0.9
PI_534063,60.0,56.2,9.21,N,19.0,12.8,243.2,40.0,4.2,9.0,139.0,53.3,4.6,2.0,16.99,8.97,33.8,6.02,1.3,58.67,1.87
PI_656096,56.0,46.7,8.05,N,19.0,22.6,429.4,48.5,3.9,10.0,149.0,72.2,5.8,0.67,19.3,9.34,28.03,6.82,2.1,116.33,1.67
PI_534128,64.0,63.0,8.03,N,18.0,26.0,468.0,30.7,5.0,13.0,122.0,62.8,7.0,0.67,23.29,9.78,12.97,7.33,3.91,56.33,1.73
PI_595702,59.0,44.5,7.5,N,28.0,29.7,831.6,30.3,4.8,8.0,110.0,63.2,8.2,0.67,21.96,9.23,17.43,5.36,2.96,50.67,2.93
PI_534127,64.0,52.8,7.27,N,20.0,11.4,228.0,35.0,3.9,10.0,170.0,58.2,4.9,0.33,14.82,7.61,18.13,4.25,1.48,42.33,3.0
PI_597960,66.0,54.9,4.16,N,18.0,,,30.0,4.2,12.0,245.0,58.5,8.8,1.0,21.49,9.19,13.9,6.49,4.64,76.67,1.83
PI_564163,59.0,38.4,6.54,N,17.0,54.5,926.5,39.0,5.8,11.0,102.0,73.9,6.4,0.67,23.14,11.5,28.43,7.12,2.62,64.67,2.2
PI_576393,57.0,42.3,9.48,N,14.0,24.0,336.0,59.2,5.5,7.0,89.0,60.0,6.5,1.33,17.5,10.13,5.33,7.03,4.9,28.0,6.73
PI_533761,73.0,42.2,0.41,N,12.0,37.3,447.6,51.3,6.8,12.0,106.0,79.0,9.0,0.33,28.64,11.07,21.17,6.95,2.75,59.67,3.67
PI_576381,65.0,42.8,,Y,7.0,,,46.5,6.0,12.0,70.0,62.5,7.0,3.0,34.71,16.12,25.2,13.73,4.43,86.0,1.25
PI_656042,65.0,44.9,6.87,N,12.0,34.6,415.20000000000005,68.0,6.2,13.0,72.0,87.0,8.0,0.67,28.42,11.1,24.33,8.08,3.54,42.33,2.8
PI_656094,58.0,67.8,10.2,N,26.0,23.6,613.6,62.5,5.8,11.0,139.0,63.0,6.0,1.0,17.98,7.97,36.33,5.36,2.2800000000000002,68.0,2.93
PI_533964,71.0,32.3,5.55,N,14.0,40.1,561.4,30.0,4.7,12.0,72.0,61.5,7.0,1.0,22.09,9.29,14.97,6.85,2.63,57.33,1.33
PI_533838,52.0,39.5,4.03,N,18.0,14.2,255.6,44.5,4.7,8.0,82.0,36.0,7.0,1.0,21.22,9.72,14.23,5.78,2.3,28.67,4.93
PI_656110,65.0,40.5,5.04,N,28.0,16.3,456.4,51.3,4.7,9.0,62.0,63.0,6.5,3.33,25.88,9.47,12.03,6.27,3.38,73.0,1.3
PI_533957,57.0,46.2,5.56,N,25.0,34.0,850.0,45.5,4.0,8.0,72.0,62.0,7.0,0.67,21.5,8.13,6.43,4.61,2.76,30.33,5.83
PI_655996,66.0,44.3,5.44,N,15.0,48.0,720.0,27.0,4.2,12.0,76.0,73.0,7.5,2.0,13.91,10.15,27.17,6.91,2.55,71.0,1.03
PI_576376,64.0,42.1,4.24,N,25.0,19.8,495.0,35.7,3.6,11.0,85.0,62.0,5.3,1.0,21.48,11.15,23.97,8.75,2.52,65.67,1.73
PI_655976,67.0,36.85,1.15,Y,18.0,21.8,392.4,44.8,4.8,14.0,85.0,71.0,6.2,0.0,23.0,9.67,18.3,5.99,2.29,40.67,2.6
PI_533755,65.0,34.4,9.91,N,15.0,22.7,340.5,32.7,4.5,12.0,82.0,60.5,5.5,0.67,20.09,7.93,21.1,6.2,1.64,60.0,3.33
PI_655979,67.0,33.3,5.6,Y,4.0,,,45.5,7.3,12.0,82.0,74.0,7.0,2.33,23.91,12.44,26.1,8.61,2.87,68.0,1.83
PI_656027,76.0,39.95,2.2,N,6.0,42.9,257.4,33.6,5.7,12.0,128.0,51.0,8.2,0.33,28.47,14.34,16.8,8.35,2.77,21.67,2.33
PI_329435,63.0,51.6,13.2,N,,,,60.0,6.1,13.0,84.0,55.3,7.5,0.67,22.18,10.82,14.77,8.2,2.43,63.33,1.57
PI_534054,69.0,42.0,8.56,N,11.0,47.2,519.2,32.5,4.5,12.0,58.0,68.2,7.1,1.0,26.95,11.89,19.43,7.42,2.72,103.67,1.27
PI_534112,67.0,38.5,3.81,N,24.0,53.6,1286.4,65.7,8.2,10.0,96.0,87.4,8.7,0.0,20.22,9.06,14.8,8.08,3.39,55.33,2.3
PI_534138,70.0,44.2,,Y,8.0,,,24.0,3.0,12.0,77.0,71.4,6.4,7.0,23.5,10.71,22.4,6.52,2.19,69.0,1.2
PI_533902,69.0,40.1,1.3,N,12.0,46.0,552.0,60.0,7.6,10.0,63.0,78.9,8.4,0.67,30.26,12.88,30.24,7.72,3.65,51.67,4.77
PI_564163,59.0,34.1,5.03,N,17.0,44.3,753.0999999999999,27.5,3.4,11.0,110.0,63.7,6.6,0.33,21.74,10.17,25.1,7.19,2.99,61.5,2.7
PI_576385,53.0,66.9,3.44,N,23.0,29.1,669.3,45.3,4.6,10.0,134.0,,,1.67,20.44,10.25,16.47,6.47,3.22,65.0,1.8
PI_564163,60.0,31.0,3.46,N,17.0,41.0,697.0,35.0,4.4,12.0,110.0,64.9,6.6,2.0,21.68,10.42,27.63,6.7,2.41,58.67,2.2
PI_534139,56.0,76.6,8.23,N,37.0,10.9,403.3,40.0,2.6,10.0,176.0,69.2,5.3,2.0,15.41,5.95,23.23,3.56,1.21,34.67,4.6
PI_533752,64.0,51.7,6.47,N,18.0,33.2,597.6,41.0,6.1,12.0,80.0,65.6,9.9,1.0,26.34,12.96,27.7,10.28,2.99,61.33,2.5300000000000002
PI_641849,50.0,49.3,9.83,N,39.0,2.6,101.4,44.0,4.1,9.0,211.0,65.8,7.5,0.33,14.41,6.39,31.27,3.93,1.41,39.33,4.53
PI_534123,57.0,60.2,9.36,N,21.0,18.9,396.9,50.1,4.8,12.0,120.0,72.4,5.6,0.33,17.78,6.53,17.43,3.91,1.91,47.67,3.9
PI_613536,57.0,53.4,,Y,2.0,,,32.0,5.7,7.0,111.0,46.3,10.8,1.0,27.2,13.83,19.9,6.74,1.85,47.0,5.2
PI_533913,60.0,33.9,6.01,N,8.0,26.5,212.0,35.6,4.5,10.0,90.0,54.3,7.2,0.0,22.74,10.04,12.83,6.01,3.1,38.33,4.07
PI_533760,62.0,37.8,4.91,N,16.0,27.4,438.4,31.0,4.8,14.0,72.0,54.9,6.2,0.67,21.03,11.25,12.9,8.32,4.0,46.67,1.43
PI_533757,66.0,40.5,5.46,N,16.0,48.8,780.8,28.6,5.1,10.0,79.0,69.1,9.2,0.67,23.24,10.25,18.17,7.15,2.91,59.33,1.7000000000000002
PI_533989,68.0,45.0,4.12,N,18.0,31.2,561.6,36.5,5.2,11.0,89.0,65.0,7.0,2.67,26.37,10.15,22.33,6.77,2.01,56.33,1.27
PI_655992,63.0,57.8,11.17,N,13.0,39.7,516.1,39.0,4.4,11.0,90.0,69.0,7.5,0.33,23.58,11.19,14.0,7.32,4.43,54.67,2.33
PI_655974,64.0,45.3,1.97,N,12.0,69.5,834.0,37.5,6.0,13.0,170.0,59.0,7.5,0.0,17.63,9.06,19.87,5.58,3.84,48.67,1.5
PI_597946,66.0,42.2,7.15,N,23.0,26.2,602.6,43.5,4.0,7.0,112.0,64.0,6.5,3.33,20.3,9.43,20.57,7.86,4.12,43.67,4.1
PI_656031,64.0,42.5,6.05,N,15.0,42.4,636.0,32.5,5.6,13.0,140.0,70.0,8.0,1.33,18.54,9.04,22.47,6.37,2.72,52.67,1.43
PI_656007,62.0,38.7,4.35,N,11.0,38.0,418.0,32.5,4.0,9.0,62.0,72.0,6.0,0.33,19.73,8.86,19.8,6.02,3.98,44.67,2.8
PI_601816,73.0,32.3,5.93,N,10.0,67.1,671.0,40.5,6.8,15.0,198.0,76.0,9.5,0.67,30.08,11.33,27.53,6.83,1.26,58.33,2.07
PI_656022,59.0,44.6,4.34,N,16.0,35.8,572.8,30.2,3.0,10.0,84.0,61.0,8.0,0.0,23.31,10.01,12.1,6.78,3.71,46.67,2.63
PI_656032,76.0,33.8,11.66,N,22.0,20.4,448.79999999999995,34.2,4.4,13.0,243.0,74.0,8.6,2.67,19.41,8.88,27.37,4.52,1.3,70.33,2.03
PI_656092,73.0,29.6,4.85,N,20.0,19.8,396.0,44.0,5.0,15.0,72.0,69.0,6.5,0.0,25.18,11.59,10.77,8.74,5.09,75.0,1.2
PI_564163,59.0,50.7,5.74,N,14.0,41.7,583.8000000000001,38.8,4.7,10.0,103.0,73.0,6.5,0.0,21.16,9.51,25.67,6.27,2.59,58.33,2.13
PI_656121,56.0,46.3,6.16,N,28.0,29.8,834.4,32.6,3.0,10.0,98.0,48.5,5.0,1.67,19.65,9.82,25.27,6.75,2.95,62.67,2.73
PI_656055,62.0,43.1,11.59,N,21.0,35.3,741.3,41.6,5.8,13.0,85.0,73.0,6.4,0.0,24.1,10.06,25.9,7.26,2.43,71.33,2.6
PI_534124,68.0,37.9,3.55,N,22.0,23.6,519.2,49.0,4.6,10.0,120.0,70.0,5.7,1.67,21.4,9.54,24.67,6.26,3.33,51.33,2.57
PI_656023,63.0,45.4,6.98,N,21.0,38.3,804.3,45.0,5.5,13.0,167.0,87.0,7.8,0.33,24.84,11.47,23.97,8.43,2.62,47.67,3.57
PI_656056,72.0,40.8,2.63,N,12.0,46.5,558.0,41.0,6.9,14.0,120.0,63.6,9.4,0.67,29.23,13.12,17.87,8.59,3.38,68.67,2.17
PI_564163,59.0,35.6,5.61,N,13.0,52.7,685.1,43.0,5.2,12.0,97.0,55.2,6.6,0.0,22.31,9.26,27.2,7.0,2.12,56.33,2.8
PI_534157,67.0,32.3,5.6,N,12.0,51.1,613.2,47.5,6.8,14.0,80.0,65.6,9.6,1.0,24.91,10.83,16.9,7.45,3.77,49.33,3.5
PI_533785,59.0,73.8,7.52,N,28.0,16.4,459.19999999999993,37.0,5.3,7.0,80.0,69.1,7.6,1.0,23.21,10.49,34.5,5.68,3.12,86.0,3.1
PI_534097,60.0,43.3,9.2,N,20.0,23.6,472.0,29.3,2.8,9.0,78.0,59.8,6.0,0.0,23.65,7.35,11.97,4.83,3.07,52.0,4.1
PI_329440,62.0,43.2,7.02,N,19.0,49.1,932.9,43.6,5.3,11.0,79.0,68.3,5.5,2.0,21.69,10.27,19.57,8.24,3.32,40.33,1.4
PI_656028,65.0,48.7,3.61,N,27.0,46.3,1250.1,28.0,5.5,15.0,275.0,,,0.33,17.46,8.14,19.77,5.95,2.5,72.67,1.37
PI_576401,69.0,30.8,1.8,N,10.0,35.6,356.0,35.0,5.5,14.0,140.0,72.5,8.5,0.33,24.52,11.78,16.83,7.65,2.25,116.0,2.27
PI_656099,78.0,32.5,4.34,N,13.0,21.6,280.8,49.9,6.9,15.0,192.0,45.6,8.2,0.0,26.13,12.51,16.8,8.65,3.56,101.67,1.7000000000000002
PI_656091,73.0,29.1,1.73,N,13.0,19.2,249.6,35.4,5.8,15.0,72.0,67.5,7.5,0.0,27.31,10.62,13.37,7.98,3.07,51.33,2.5
PI_642793,63.0,47.7,6.53,N,18.0,48.2,867.6,37.6,5.8,11.0,80.0,67.6,10.4,0.0,17.25,12.12,19.1,6.89,3.71,43.67,2.17
PI_576435,63.0,44.7,3.94,N,15.0,69.2,1038.0,54.0,8.6,11.0,90.0,68.9,8.1,0.67,20.48,12.98,16.87,8.17,3.07,50.33,3.0
PI_564163,63.0,33.0,5.63,N,15.0,55.7,835.5,26.5,4.5,11.0,120.0,65.5,7.2,0.0,18.66,8.96,29.43,6.16,1.92,57.33,1.13
PI_534133,69.0,30.9,4.65,N,11.0,24.6,270.6,50.2,5.4,15.0,82.0,74.6,7.4,0.67,30.5,12.96,14.93,8.48,4.95,94.0,2.07
PI_564163,57.0,35.1,6.85,N,19.0,48.5,921.5,39.0,4.0,11.0,103.0,62.5,5.6,0.33,21.77,10.33,27.47,6.45,2.27,60.0,2.57
PI_533833,62.0,63.8,3.67,N,25.0,12.1,302.5,25.0,3.8,8.0,83.0,50.0,5.5,3.33,20.72,8.41,35.73,6.12,1.99,53.67,7.7
PI_597967,63.0,50.9,14.35,N,10.0,54.7,547.0,40.0,5.5,12.0,89.0,72.5,8.5,0.0,27.57,14.16,12.4,7.59,3.7,58.67,1.5
PI_656040,71.0,44.7,2.75,N,14.0,50.8,711.2,39.0,3.9,14.0,92.0,76.0,6.0,0.33,30.21,11.1,22.9,9.05,3.59,75.33,1.43
PI_564163,60.0,33.3,4.37,N,11.0,62.0,682.0,43.0,5.3,10.0,87.0,69.0,7.5,0.33,24.04,13.11,26.0,7.05,3.08,60.33,2.27
PI_533940,63.0,50.0,13.47,N,19.0,12.7,241.3,21.5,3.5,10.0,128.0,48.0,5.5,1.0,20.94,7.74,15.43,5.48,2.58,44.67,0.83
PI_533842,75.0,32.1,2.5300000000000002,N,12.0,41.9,502.79999999999995,37.4,4.8,12.0,72.0,65.0,7.0,0.33,24.91,13.48,16.47,7.63,3.36,78.33,1.07
PI_533987,56.0,38.8,10.63,N,24.0,46.7,1120.8000000000002,42.7,5.8,12.0,82.0,62.0,7.0,3.0,19.94,10.04,21.13,6.46,1.46,54.67,1.17
PI_597982,50.0,79.3,15.17,N,24.0,26.2,628.8,40.0,5.0,9.0,112.0,48.0,7.0,0.67,20.18,10.15,24.0,7.12,2.54,42.67,2.1
PI_564163,58.0,45.0,3.94,N,12.0,35.2,422.4,26.1,3.3,11.0,88.0,67.0,7.2,0.0,20.38,9.18,27.67,6.07,2.5,62.67,1.63
PI_597951,64.0,60.4,2.07,N,22.0,21.5,473.0,36.2,3.5,10.0,132.0,64.0,5.8,0.0,20.5,8.58,30.97,5.71,1.66,59.0,2.13
PI_595718,52.0,39.3,4.8100000000000005,N,23.0,23.4,538.1999999999999,39.0,5.8,10.0,75.0,74.0,6.8,0.67,19.31,12.07,25.07,7.79,2.05,48.0,2.87
PI_655970,67.0,36.85,1.15,Y,6.0,,,45.3,7.1,12.0,152.0,65.5,7.2,1.0,29.03,11.56,14.5,7.59,5.5,57.0,3.23
PI_564163,63.0,44.3,7.55,Y,8.0,46.9,375.2,34.2,5.1,11.0,100.0,70.0,7.7,1.0,24.31,12.34,29.17,7.96,2.73,59.0,2.5
PI_533962,69.0,28.9,4.4,N,24.0,34.7,832.8,41.5,4.6,11.0,110.0,64.0,6.0,3.33,23.33,10.06,15.43,6.69,1.88,57.33,1.07
PI_595744,60.0,46.2,7.39,N,17.0,58.1,987.7,32.5,5.1,12.0,109.0,68.4,8.6,1.67,25.6,11.48,28.77,8.1,2.61,76.33,2.37
PI_533910,59.0,30.3,2.18,N,22.0,35.2,774.4000000000001,47.0,4.5,12.0,80.0,68.2,6.4,0.0,20.97,7.28,22.77,5.37,1.97,42.0,2.63
PI_642998,65.0,59.0,7.82,N,21.0,9.1,191.1,50.0,6.0,9.0,312.0,,,0.0,18.2,11.47,13.37,7.44,2.66,62.33,20.6
PI_656102,59.0,42.7,0.81,Y,13.0,,,31.5,2.9,7.0,90.0,50.3,4.6,3.0,16.42,10.34,14.77,7.2,2.57,31.33,2.3
